SmartPlace candidate ranking v2 100-case worker
cases=100
candidate_rows=1300
positive_cases=50
negative_cases=50
scorer_mode=simopa-worker
elapsed_seconds=42.1
positive_pass=44
negative_pass=50
case opa_test_001 label=1 dataset_score=0.9985 dataset_rank=1 top1=opa_position:0.9985 assessment=pass_positive_high_rank
case opa_test_002 label=1 dataset_score=0.9987 dataset_rank=10 top1=prior_pool:1.0 assessment=review_positive_high_score_low_rank
case opa_test_003 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_004 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_005 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_006 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_007 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_008 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_009 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_010 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_011 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_012 label=1 dataset_score=0.9996 dataset_rank=6 top1=prior_pool:1.0 assessment=review_positive_high_score_low_rank
case opa_test_013 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_014 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_015 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_016 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_017 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_018 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
case opa_test_019 label=1 dataset_score=1.0 dataset_rank=1 top1=opa_position:1.0 assessment=pass_positive_high_rank
