case_id,split,fg_id,bg_id,position,scale,label,composite_path,mask_path,width,height,mask_width,mask_height,usable,note
opa_test_001,test,69931,442445,"[264, 154, 262, 250]",0.4889,1,assets/datasets/opa/raw/new_OPA/composite/test_set/69931_442445_264_154_262_250_0.4889_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_69931_442445_264_154_262_250_0.4889_1.jpg,640,512,640,512,yes,
opa_test_002,test,64754,186413,"[457, 76, 54, 118]",0.2776,1,assets/datasets/opa/raw/new_OPA/composite/test_set/64754_186413_457_76_54_118_0.2776_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_64754_186413_457_76_54_118_0.2776_1.jpg,640,427,640,427,yes,
opa_test_003,test,160915,580029,"[445, 257, 115, 23]",0.1802,1,assets/datasets/opa/raw/new_OPA/composite/test_set/160915_580029_445_257_115_23_0.1802_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_160915_580029_445_257_115_23_0.1802_1.jpg,640,427,640,427,yes,
opa_test_004,test,157189,15016,"[518, 240, 108, 174]",0.4106,1,assets/datasets/opa/raw/new_OPA/composite/test_set/157189_15016_518_240_108_174_0.4106_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_157189_15016_518_240_108_174_0.4106_1.jpg,640,425,640,425,yes,
opa_test_005,test,65690,186413,"[152, 140, 98, 163]",0.3829,1,assets/datasets/opa/raw/new_OPA/composite/test_set/65690_186413_152_140_98_163_0.3829_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_65690_186413_152_140_98_163_0.3829_1.jpg,640,427,640,427,yes,
opa_test_006,test,2175267,348935,"[13, 410, 330, 220]",0.6251,1,assets/datasets/opa/raw/new_OPA/composite/test_set/2175267_348935_13_410_330_220_0.6251_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_2175267_348935_13_410_330_220_0.6251_1.jpg,529,640,529,640,yes,
opa_test_007,test,1519373,78478,"[417, 173, 136, 108]",0.2271,1,assets/datasets/opa/raw/new_OPA/composite/test_set/1519373_78478_417_173_136_108_0.2271_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_1519373_78478_417_173_136_108_0.2271_1.jpg,640,480,640,480,yes,
opa_test_008,test,1412247,213399,"[60, 130, 400, 233]",0.6251,1,assets/datasets/opa/raw/new_OPA/composite/test_set/1412247_213399_60_130_400_233_0.6251_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_1412247_213399_60_130_400_233_0.6251_1.jpg,640,427,640,427,yes,
opa_test_009,test,13433,500165,"[249, 51, 188, 279]",0.5828,1,assets/datasets/opa/raw/new_OPA/composite/test_set/13433_500165_249_51_188_279_0.5828_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_13433_500165_249_51_188_279_0.5828_1.jpg,640,480,640,480,yes,
opa_test_010,test,1914814,298623,"[554, 243, 59, 63]",0.1500,1,assets/datasets/opa/raw/new_OPA/composite/test_set/1914814_298623_554_243_59_63_0.1500_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_1914814_298623_554_243_59_63_0.1500_1.jpg,640,426,640,426,yes,
opa_test_011,test,128038,180967,"[57, 147, 74, 43]",0.1495,1,assets/datasets/opa/raw/new_OPA/composite/test_set/128038_180967_57_147_74_43_0.1495_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_128038_180967_57_147_74_43_0.1495_1.jpg,500,333,500,333,yes,
opa_test_012,test,417577,317687,"[542, 151, 48, 111]",0.2325,1,assets/datasets/opa/raw/new_OPA/composite/test_set/417577_317687_542_151_48_111_0.2325_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_417577_317687_542_151_48_111_0.2325_1.jpg,640,480,640,480,yes,
opa_test_013,test,178226,366257,"[10, 60, 154, 365]",0.8571,1,assets/datasets/opa/raw/new_OPA/composite/test_set/178226_366257_10_60_154_365_0.8571_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_178226_366257_10_60_154_365_0.8571_1.jpg,640,427,640,427,yes,
opa_test_014,test,1078397,379285,"[275, 49, 283, 250]",0.5210,1,assets/datasets/opa/raw/new_OPA/composite/test_set/1078397_379285_275_49_283_250_0.5210_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_1078397_379285_275_49_283_250_0.5210_1.jpg,640,480,640,480,yes,
opa_test_015,test,593796,213399,"[125, 10, 254, 342]",0.8029,1,assets/datasets/opa/raw/new_OPA/composite/test_set/593796_213399_125_10_254_342_0.8029_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_593796_213399_125_10_254_342_0.8029_1.jpg,640,427,640,427,yes,
opa_test_016,test,2198049,317687,"[587, 274, 50, 111]",0.2325,1,assets/datasets/opa/raw/new_OPA/composite/test_set/2198049_317687_587_274_50_111_0.2325_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_2198049_317687_587_274_50_111_0.2325_1.jpg,640,480,640,480,yes,
opa_test_017,test,1055814,298623,"[142, 237, 139, 156]",0.3674,1,assets/datasets/opa/raw/new_OPA/composite/test_set/1055814_298623_142_237_139_156_0.3674_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_1055814_298623_142_237_139_156_0.3674_1.jpg,640,426,640,426,yes,
opa_test_018,test,1926922,414401,"[237, 340, 289, 277]",0.4517,1,assets/datasets/opa/raw/new_OPA/composite/test_set/1926922_414401_237_340_289_277_0.4517_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_1926922_414401_237_340_289_277_0.4517_1.jpg,640,640,640,640,yes,
opa_test_019,test,1078801,60467,"[98, 181, 93, 82]",0.2362,1,assets/datasets/opa/raw/new_OPA/composite/test_set/1078801_60467_98_181_93_82_0.2362_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_1078801_60467_98_181_93_82_0.2362_1.jpg,504,351,504,351,yes,
opa_test_020,test,56104,417334,"[73, 133, 321, 209]",0.5019,1,assets/datasets/opa/raw/new_OPA/composite/test_set/56104_417334_73_133_321_209_0.5019_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_56104_417334_73_133_321_209_0.5019_1.jpg,640,427,640,427,yes,
opa_test_021,test,586326,80105,"[238, 163, 336, 293]",0.6118,1,assets/datasets/opa/raw/new_OPA/composite/test_set/586326_80105_238_163_336_293_0.6118_1.jpg,assets/datasets/opa/raw/new_OPA/composite/test_set/mask_586326_80105_238_163_336_293_0.6118_1.jpg,640,480,640,480,yes,
